Date,ibov_pnl_cum,single_pnl_cum,total_pnl_cum
2022-11-10,1668981.6955009953,-9485.781897273304,1659495.9136037221
2022-11-11,1778143.8996493248,-10432.008191271623,1767711.8914580534
2022-11-14,1648569.2675083997,-10187.863076501437,1638381.4044318984
2022-11-16,1832243.493420702,-11110.068735163624,1821133.4246855385
2022-11-17,1830973.3401643552,-11083.246070641006,1819890.0940937146
2022-11-18,1835981.1056143658,-11210.524138550998,1824770.5814758153
2022-11-21,1707959.8173665064,-11033.047385006552,1696926.7699815005
2022-11-22,1704951.8862538822,-11088.047024248555,1693863.8392296343
2022-11-23,1701283.9781667972,-11049.37945010229,1690234.5987166956
2022-11-24,1829681.1965673852,-11209.826042541823,1818471.3705248442
2022-11-25,1891937.4774759887,-11051.316053074805,1880886.1614229146
2022-11-28,1744303.1476656303,-11029.608464516974,1733273.539201114
2022-11-29,1831764.198868963,-11381.16033087388,1820383.0385380897
2022-11-30,1881349.3984273702,-11634.50053611973,1869714.8978912511
2022-12-01,1923536.5155348026,-11822.551686160077,1911713.9638486432
2022-12-02,1817650.3281558817,-11487.74543238473,1806162.5827234979
2022-12-05,1114898.165580427,-9261.348628622676,1105636.8169518053
2022-12-06,1115435.2562897827,-9030.347744883278,1106404.9085449004
2022-12-07,1087242.8320803067,-8903.671668949868,1078339.1604113579
2022-12-08,1170867.2962440276,-8959.999581379458,1161907.296662649
2022-12-09,1162589.5977127904,-8790.024246719026,1153799.573466072
2022-12-12,1287890.2658893326,-8904.331979436422,1278985.933909897
2022-12-13,1306352.9661340252,-9771.500904511751,1296581.4652295143
2022-12-14,1305489.0867088563,-10347.33811756404,1295141.7485912929
2022-12-15,1213805.282448434,-10415.525485801929,1203389.7569626328
2022-12-16,1152024.6126155173,-10292.992551365023,1141731.620064153
2022-12-19,1127713.1759278604,-10555.190501018189,1117157.985426843
2022-12-20,1307779.5740398173,-10648.979340321273,1297130.5946994966
2022-12-21,1287278.039514769,-10282.347324980732,1276995.692189789
2022-12-22,1089166.1247189536,-9817.732146533035,1079348.392572421
2022-12-23,965935.9550281367,-8163.461590270863,957772.4934378663
2022-12-26,947690.3443210555,-8130.582287745566,939559.7620333104
2022-12-27,877123.9418319442,-7464.870415812479,869659.0714161322
2022-12-28,885875.5901878391,-7200.41182244245,878675.1783653972
2022-12-29,886143.5806992388,-6731.84849483139,879411.7322044079
2023-01-02,1146640.820169171,-5833.7213801496255,1140807.0987890218
2023-01-03,1222981.797907766,-5977.088468012578,1217004.7094397538
2023-01-04,1280653.817656086,-5786.519520504061,1274867.2981355824
2023-01-05,1391232.3253229065,-5699.351630537461,1385532.9736923694
2023-01-06,1296709.4899572916,-5507.73529840424,1291201.7546588879
2023-01-09,1281841.3222210156,-5430.855321718611,1276410.4668992974
2023-01-10,1220327.3110784916,-2133.8575648157484,1218193.4535136763
2023-01-11,867713.9556031937,-1486.6715067890095,866227.2840964051
2023-01-12,708472.1493538056,-361.91533659537913,708110.2340172107
2023-01-13,708546.1872827196,-200.03322998043973,708346.1540527396
2023-01-16,565372.843047003,210.27733011999402,565583.1203771235
2023-01-17,690538.4902940888,-870.2893678314422,689668.2009262579
2023-01-18,692603.6644621877,-1044.7754315087095,691558.8890306795
2023-01-19,681150.8999923865,-1015.1831096217867,680135.7168827652
