Date,ibov_pnl,single_pnl,total_pnl
2023-09-13,-88064.02366663342,-51.08134035396753,-88115.10500698739
2023-09-14,44581.085248128766,-140.94191823429938,44440.14332989447
2023-09-15,10151.162924355336,-8.030817619162903,10143.132106736173
2023-09-18,5485.444244723756,343.3237852800058,5828.768030003762
2023-09-19,-2952.1869028173305,101.6704623363014,-2850.5164404810293
2023-09-20,-145007.26899428654,175.2305145450589,-144832.0384797415
2023-09-21,183911.87298043864,223.90980529351478,184135.78278573215
2023-09-22,-23900.899105736993,146.70166944009367,-23754.197436296898
2023-09-25,-18154.619264003177,-136.96402657682995,-18291.583290580005
2023-09-26,-112139.36120061006,437.08988048354774,-111702.27132012651
2023-09-27,-1296.274600374538,173.59938962885093,-1122.675210745687
2023-09-28,-35772.23557671361,-37.05907602483092,-35809.29465273844
2023-09-29,25169.49687574342,4.2608068165001045,25173.75768255992
2023-10-02,75532.96095203614,-92.90208904085655,75440.05886299528
2023-10-03,94415.89944410892,36.09326482891884,94451.99270893783
2023-10-04,-28054.89037563418,203.47104632938365,-27851.419329304794
2023-10-05,1473.5336324273899,-57.72971212451445,1415.8039203028754
2023-10-06,44458.60807643662,-330.94402238961504,44127.664054047
2023-10-09,37585.00703692061,-164.91530216900975,37420.0917347516
2023-10-10,117693.95384426633,-85.05959639695081,117608.89424786938
2023-10-11,2459.8787056997226,-15.551963136293395,2444.326742563429
2023-10-13,5856.60211122172,-139.95668254953034,5716.64542867219
2023-10-16,10094.562458286891,-38.53006072361661,10056.032397563275
2023-10-17,2483.18195025741,50.502531194279854,2533.68448145169
2023-10-18,140574.85031935075,-339.04395315332124,140235.80636619742
2023-10-19,-9653.087625326032,4.392588490637573,-9648.695036835394
2023-10-20,-10125.502709783917,-150.83281813408456,-10276.335527918001
2023-10-23,-142891.08914765413,-307.2635756011669,-143198.3527232553
2023-10-24,-135779.09734760906,81.8948136984702,-135697.20253391057
2023-10-25,-11478.31695480867,-768.2843816267462,-12246.601336435417
2023-10-26,132648.0346575825,-234.54756433520544,132413.4870932473
2023-10-27,13493.859587708848,-69.41482201588133,13424.444765692966
2023-10-30,-66482.32289685815,89.17692094166975,-66393.14597591649
2023-10-31,1377.6559627732158,-223.07377713408295,1154.5821856391328
2023-11-01,47935.18785035971,61.7740969167288,47996.96194727644
2023-11-03,236273.0300952795,-514.9473814039902,235758.0827138755
2023-11-06,3841.5802866388467,-44.35936153638591,3797.2209251024606
2023-11-07,15117.644980779678,-79.67731509095289,15037.967665688726
2023-11-08,-91825.48831744507,18.37035609629495,-91807.11796134878
2023-11-09,-26012.81235625258,-201.21351648555918,-26214.02587273814
2023-11-10,498.9270488873358,-13.233095960798586,485.6939529265372
2023-11-13,-43130.90991814255,-138.1995816336417,-43269.10949977619
2023-11-14,363903.50293387985,-583.6246078090722,363319.8783260708
2023-11-16,-2083.249943174387,-2.2730888183741698,-2085.5230319927614
2023-11-17,-22923.15487288941,2.3141072883429143,-22920.840765601064
2023-11-20,12464.317192019993,-12.916475418283937,12451.400716601709
2023-11-21,971.932993778136,-59.197383532367226,912.7356102457688
2023-11-22,-19652.811077168335,79.78601296478284,-19573.025064203553
2023-11-23,-364177.0249830486,536.2834220552176,-363640.7415609934
2023-11-24,61699.68721686586,-16.216380933740133,61683.470835932116
2023-11-27,-4178.383304868384,132.40407212238472,-4045.979232745999
2023-11-28,-181424.03857811925,204.43324855804912,-181219.6053295612
2023-11-29,21312.730106593226,-15.535745290875035,21297.19436130235
2023-11-30,-28230.529757025204,-1.280820095764705,-28231.81057712097
2023-12-01,-6454.925028511609,-196.06304192095928,-6650.988070432568
2023-12-04,-51082.43147845374,83.14153756338577,-50999.289940890354
